iter	Passed	Remaining
579	11492	8321
580	11507	8298
581	11525	8278
582	11542	8256
583	11558	8233
584	11574	8211
585	11591	8189
586	11607	8166
587	11623	8144
588	11639	8122
589	11657	8100
590	11675	8079
591	11691	8057
592	11710	8037
593	11727	8015
594	11742	7993
595	11758	7970
596	11773	7947
597	11790	7925
598	11807	7904
599	11822	7881
600	11836	7858
601	11852	7835
602	11868	7814
603	11886	7793
604	11907	7774
605	11925	7753
606	11941	7731
607	11959	7710
608	11975	7688
609	11993	7668
610	12007	7644
611	12020	7620
612	12037	7599
613	12054	7577
614	12071	7556
615	12088	7535
616	12106	7515
617	12123	7493
618	12140	7472
619	12157	7451
620	12178	7432
621	12198	7413
622	12239	7406
623	12261	7388
624	12279	7367
625	12295	7346
626	12312	7324
627	12330	7304
628	12346	7282
629	12363	7260
630	12378	7238
631	12396	7218
632	12410	7195
633	12427	7174
634	12444	7152
635	12460	7131
636	12478	7110
637	12497	7091
638	12513	7069
639	12529	7047
640	12544	7025
641	12562	7005
642	12578	6983
643	12597	6963
644	12615	6943
645	12631	6922
646	12648	6900
647	12669	6882
648	12685	6860
649	12699	6838
650	12715	6816
651	12731	6795
652	12748	6774
653	12765	6753
654	12785	6734
655	12804	6714
656	12821	6693
657	12855	6681
658	12870	6659
659	12886	6638
660	12905	6618
661	12923	6598
662	12941	6578
663	12957	6556
664	12974	6535
665	12989	6514
666	13006	6493
667	13024	6473
668	13040	6452
669	13055	6430
670	13074	6410
671	13092	6390
672	13105	6367
673	13121	6346
674	13138	6325
675	13153	6304
676	13169	6283
677	13186	6262
678	13205	6243
679	13224	6223
680	13245	6204
681	13264	6184
682	13279	6163
683	13295	6142
684	13312	6121
685	13331	6102
686	13347	6081
687	13364	6060
688	13381	6040
689	13397	6019
690	13413	5998
691	13430	5977
692	13446	5956
693	13462	5935
694	13478	5915
695	13496	5895
696	13513	5874
697	13531	5854
698	13547	5833
699	13565	5813
700	13583	5793
701	13596	5771
702	13612	5750
703	13625	5728
704	13640	5707
705	13656	5686
706	13673	5666
707	13692	5647
708	13708	5626
709	13725	5606
710	13741	5585
711	13755	5563
712	13772	5543
713	13790	5524
714	13808	5504
715	13825	5483
716	13840	5462
717	13857	5442
718	13872	5421
719	13889	5401
720	13906	5381
721	13922	5360
722	13941	5341
723	13960	5321
724	13977	5301
725	13993	5281
726	14011	5261
727	14030	5242
728	14052	5224
729	14068	5203
730	14086	5183
731	14105	5164
732	14122	5144
733	14138	5123
734	14156	5103
735	14173	5083
736	14188	5063
737	14201	5041
738	14218	5021
739	14235	5001
740	14252	4981
741	14268	4961
742	14285	4941
743	14304	4922
744	14323	4902
745	14339	4882
746	14356	4862
747	14373	4842
748	14391	4822
749	14408	4802
750	14425	4782
751	14441	4762
752	14458	4742
753	14472	4721
754	14487	4701
755	14504	4681
756	14524	4662
757	14540	4642
758	14554	4621
759	14569	4600
760	14587	4581
761	14603	4561
762	14624	4542
763	14640	4522
764	14655	4502
765	14672	4482
766	14688	4462
767	14706	4442
768	14723	4422
769	14740	4403
770	14758	4383
771	14775	4363
772	14790	4343
773	14811	4324
774	14831	4305
775	14847	4285
776	14865	4266
777	14882	4246
778	14899	4226
779	14915	4206
780	14931	4186
781	14946	4166
782	14964	4147
783	14978	4126
784	14996	4107
785	15014	4087
786	15030	4067
787	15047	4048
788	15063	4028
789	15079	4008
790	15096	3988
791	15115	3969
792	15133	3950
793	15151	3930
794	15167	3911
795	15184	3891
796	15200	3871
797	15217	3852
798	15235	3832
799	15250	3812
800	15268	3793
801	15303	3778
802	15320	3758
803	15336	3738
804	15352	3719
805	15368	3699
806	15384	3679
807	15401	3659
808	15418	3640
809	15436	3620
810	15453	3601
811	15470	3581
812	15487	3562
813	15504	3542
814	15521	3523
815	15538	3503
816	15553	3483
817	15571	3464
818	15587	3444
819	15603	3425
820	15621	3405
821	15637	3386
822	15654	3366
823	15670	3347
824	15689	3327
825	15704	3308
826	15719	3288
827	15738	3269
828	15755	3249
829	15770	3230
830	15786	3210
831	15805	3191
832	15823	3172
833	15838	3152
834	15854	3132
835	15870	3113
836	15888	3094
837	15906	3074
838	15923	3055
839	15941	3036
840	15957	3016
841	15975	2997
842	15995	2978
843	16013	2959
844	16031	2940
845	16047	2921
846	16065	2902
847	16084	2883
848	16101	2863
849	16119	2844
850	16136	2825
851	16152	2805
852	16169	2786
853	16184	2766
854	16201	2747
855	16219	2728
856	16237	2709
857	16254	2690
858	16271	2670
859	16288	2651
860	16307	2632
861	16323	2613
862	16339	2593
863	16354	2574
864	16370	2554
865	16387	2535
866	16406	2516
867	16424	2497
868	16441	2478
869	16457	2459
870	16473	2439
871	16489	2420
872	16505	2401
873	16521	2381
874	16538	2362
875	16552	2343
876	16569	2323
877	16586	2304
878	16602	2285
879	16619	2266
880	16636	2247
881	16652	2227
882	16670	2208
883	16687	2189
884	16704	2170
885	16720	2151
886	16735	2132
887	16752	2112
888	16769	2093
889	16784	2074
890	16800	2055
891	16817	2036
892	16836	2017
893	16852	1998
894	16870	1979
895	16888	1960
896	16905	1941
897	16918	1921
898	16937	1902
899	16955	1883
900	16975	1865
901	17012	1848
902	17027	1829
903	17044	1809
904	17058	1790
905	17073	1771
906	17089	1752
907	17106	1733
908	17121	1714
909	17138	1695
910	17155	1676
911	17171	1656
912	17188	1637
913	17204	1618
914	17218	1599
915	17236	1580
916	17257	1562
917	17276	1543
918	17292	1524
919	17307	1505
920	17320	1485
921	17337	1466
922	17355	1447
923	17372	1428
924	17391	1410
925	17406	1391
926	17421	1371
927	17439	1353
928	17457	1334
929	17472	1315
930	17489	1296
931	17504	1277
932	17520	1258
933	17534	1239
934	17551	1220
935	17564	1200
936	17581	1182
937	17597	1163
938	17612	1144
939	17629	1125
940	17645	1106
941	17663	1087
942	17689	1069
943	17706	1050
944	17724	1031
945	17739	1012
946	17756	993
947	17773	974
948	17790	956
949	17804	937
950	17822	918
951	17835	899
952	17851	880
953	17866	861
954	17881	842
955	17896	823
956	17914	804
957	17932	786
958	17949	767
959	17965	748
960	17986	729
961	18007	711
962	18030	692
963	18048	674
964	18066	655
965	18083	636
966	18101	617
967	18116	598
968	18133	580
969	18149	561
970	18167	542
971	18182	523
972	18198	504
973	18215	486
974	18232	467
975	18248	448
976	18264	429
977	18280	411
978	18298	392
979	18313	373
980	18330	355
981	18347	336
